Integer Structure Map — tinyllama_tinyllama-1.1b-chat-v1.0
Scanned 200/201 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
blk.14.attn_output.weight                       Q4_0     4.2M   3.391    10.5    0.0%  0.393   100.0%
blk.5.ffn_down.weight                           Q4_0    11.5M   3.391    10.5    0.0%  0.695   100.0%
blk.6.attn_output.weight                        Q4_0     4.2M   3.392    10.5    0.0%  0.426   100.0%
blk.9.ffn_gate.weight                           Q4_0    11.5M   3.392    10.5    0.0%  0.594   100.0%
blk.8.ffn_gate.weight                           Q4_0    11.5M   3.392    10.5    0.0%  0.535   100.0%
blk.18.ffn_down.weight                          Q4_0    11.5M   3.392    10.5    0.0%  0.629   100.0%
blk.19.attn_output.weight                       Q4_0     4.2M   3.392    10.5    0.0%  0.602   100.0%
blk.10.ffn_gate.weight                          Q4_0    11.5M   3.392    10.5    0.0%  0.482   100.0%
blk.6.ffn_gate.weight                           Q4_0    11.5M   3.392    10.5    0.0%  0.449   100.0%
blk.17.ffn_gate.weight                          Q4_0    11.5M   3.392    10.5    0.1%  0.465   100.0%
blk.19.ffn_down.weight                          Q4_0    11.5M   3.393    10.5    0.0%  0.539   100.0%
blk.21.ffn_up.weight                            Q4_0    11.5M   3.393    10.5    0.0%  0.680   100.0%
blk.5.ffn_gate.weight                           Q4_0    11.5M   3.393    10.5    0.0%  0.668   100.0%
blk.18.ffn_up.weight                            Q4_0    11.5M   3.393    10.5    0.0%  0.326   100.0%
blk.20.ffn_up.weight                            Q4_0    11.5M   3.393    10.5    0.0%  0.226   100.0%
blk.2.attn_output.weight                        Q4_0     4.2M   3.393    10.5    0.0%  0.598   100.0%
blk.3.ffn_down.weight                           Q4_0    11.5M   3.393    10.5    0.0%  0.629   100.0%
blk.2.ffn_up.weight                             Q4_0    11.5M   3.394    10.5    0.0%  0.414   100.0%
blk.16.attn_output.weight                       Q4_0     4.2M   3.394    10.5    0.0%  0.305   100.0%
blk.2.ffn_gate.weight                           Q4_0    11.5M   3.394    10.5    0.0%  1.164   100.0%
blk.3.ffn_up.weight                             Q4_0    11.5M   3.394    10.5    0.0%  0.354   100.0%
blk.19.ffn_up.weight                            Q4_0    11.5M   3.394    10.5    0.0%  0.262   100.0%
blk.4.ffn_down.weight                           Q4_0    11.5M   3.394    10.5    0.0%  0.555   100.0%
